objectid,name,feattype,GEOID,tract_latitude,tract_longitude,lat,lon
33156,Timrod Park,Amusement Park,45041001000,+34.1911403,-079.7695503,34.1851265,-79.770458
33167,Florence Veterans Park,Park and Recreation Area,45041000201,+34.1991944,-079.8244682,34.1865443,-79.8348417
33219,Levy Park,Park and Recreation Area,45041000700,+34.1875889,-079.7527189,34.1928198,-79.7472559
33237,Traces Golf Club,Golf Course,45041000102,+34.1908107,-079.8738414,34.1946591,-79.8945493
33240,Lake Greenwood State Park,Park and Recreation Area,45047970701,+34.1717850,-081.9423252,34.1948102,-81.9480664
33242,Greenwood Country Club,Golf Course,45047970400,+34.1698568,-082.2054546,34.1948974,-82.1761495
33243,Lee State Park,Park and Recreation Area,45061920100,+34.2555206,-080.1752007,34.1949008,-80.1825847
33244,West Cambridge Park,Park and Recreation Area,45047970400,+34.1698568,-082.2054546,34.1949365,-82.1692997
33248,Maple Park,Park and Recreation Area,45041001100,+34.1907523,-079.7961389,34.1954468,-79.7837482
33274,Pet Area,Park and Recreation Area,45055970403,+34.2183873,-080.6619753,34.1992311,-80.6659002
33308,The Golf Club of South Carolina at Crickentree,Golf Course,45079010104,+34.2216804,-080.9019379,34.2029158,-80.8932721
33314,Hunters Creek Golf & Country Club,Golf Course,45047970302,+34.2103000,-082.2139248,34.2036268,-82.23227
33334,The Patriot Golf Club at Grand Harbor,Golf Course,45047970701,+34.1717850,-081.9423252,34.2058937,-81.9690264
33355,Greenwood Civic Center,Amusement Park,45047970600,+34.1890147,-082.0906631,34.2091697,-82.1372753
33399,High Meadows Country Club,Golf Course,45001950300,+34.2530788,-082.5824673,34.2149596,-82.5353432
33407,Doko Meadows Park,Amusement Park,45079010104,+34.2216804,-080.9019379,34.2155429,-80.9725024
33433,Blythewood Park,Amusement Park,45079010102,+34.1723843,-080.9792738,34.218702,-80.977027
33450,The University Club at Cobblestone Park,Golf Course,45079010102,+34.1723843,-080.9792738,34.2220297,-80.9944527
33454,Cobblestone Park Golf Club,Golf Course,45079010102,+34.1723843,-080.9792738,34.2224266,-80.9945184
33548,Brooks-McCall Park,Park and Recreation Area,45041000300,+34.2297143,-079.7387975,34.23304,-79.7890122
33576,Mid Carolina Club,Golf Course,45071950601,+34.1917033,-081.5448551,34.2363956,-81.4573717
33612,Green Hills Golf Course,Golf Course,45055970401,+34.2844433,-080.7465529,34.2399283,-80.7408271
33638,Pineland Country Club,Golf Course,45067950400,+34.2456525,-079.2054743,34.2435049,-79.1782627
33659,Kershaw County,Amusement Park,45055970500,+34.2954753,-080.6158639,34.2474,-80.62738
33671,Country Club of South Carolina,Golf Course,45041000400,+34.2553928,-079.6320181,34.2481269,-79.6761623
33683,Parkland Golfer's Club,Golf Course,45047970201,+34.2624686,-082.1268673,34.2501974,-82.1704608
33716,Rectory Square Park,Amusement Park,45055970800,+34.2226390,-080.5951484,34.256002,-80.6028797
33718,Scott Park,Park and Recreation Area,45055970500,+34.2954753,-080.6158639,34.2561624,-80.6279948
33741,Beaver Creek Golf Club,Golf Course,45031011300,+34.3273952,-079.7774948,34.2603465,-79.8013014
33758,Amusements of America,Amusement Park,45041000400,+34.2553928,-079.6320181,34.262115,-79.735428
33828,Camden Country Club,Golf Course,45055970500,+34.2954753,-080.6158639,34.2700103,-80.6134804
33842,Camp Fellowship,Park and Recreation Area,45059921002,+34.2923122,-081.9568343,34.2716075,-82.0423251
33843,Fox Creek Golf Course,Golf Course,45031010800,+34.3024008,-080.0484845,34.2716622,-80.1181439
33845,White Pines Golf Course,Golf Course,45055970601,+34.2838619,-080.5502151,34.2719005,-80.5322198
33864,The Square,Park and Recreation Area,45071950202,+34.2795093,-081.5635938,34.2744473,-81.620331
33920,Goodale State Park,Park and Recreation Area,45055970602,+34.3673741,-080.6043918,34.2854948,-80.5241803
33960,Stoney Point Golf Club,Golf Course,45047970201,+34.2624686,-082.1268673,34.2908149,-82.0972809
33984,Love's Travel Stop Game Room,Amusement Park,45071950201,+34.3616604,-081.5619696,34.296232,-81.544164
34004,Country Club of Newberry,Golf Course,45071950502,+34.3098563,-081.6453407,34.3036054,-81.6510743
34017,Darlington Country Club,Golf Course,45031011400,+34.2667090,-079.8343225,34.3072045,-79.8475728
34029,Highway 184 Lake Secession Boat Ramp,Park and Recreation Area,45001950300,+34.2530788,-082.5824673,34.31255,-82.57912
34061,Little Pee Dee State Park,Park and Recreation Area,45033970500,+34.3339068,-079.2077718,34.328743,-79.2643734
34082,Rolling S Golf Club,Golf Course,45059921001,+34.3629151,-082.0389254,34.342057,-82.053448
34100,Byerly Park,Park and Recreation Area,45031010700,+34.3541929,-080.0756425,34.351527,-80.0910548
34138,Fairfield Country Club,Golf Course,45039960400,+34.3646209,-081.0494245,34.370479,-81.0846824
34146,Burry Park,Park and Recreation Area,45031010600,+34.3700380,-080.0231357,34.3737951,-80.0698319
34149,Pool Time,Amusement Park,45031010600,+34.3700380,-080.0231357,34.374899,-80.0726058
34184,Hartsville Country Club,Golf Course,45031010300,+34.4025818,-080.0722686,34.3873974,-80.0867051
34190,Ware Shoals Golf Course,Golf Course,45047970102,+34.3181322,-082.2696150,34.3887127,-82.235405
34237,Hartsville Amusement Co,Amusement Park,45031010300,+34.4025818,-080.0722686,34.4026518,-80.0576712
34316,Bethune Country Club,Golf Course,45055970100,+34.4265586,-080.3805615,34.412783,-80.3360138
34322,Dillon County Recreation Park,Park and Recreation Area,45033970400,+34.3943810,-079.3862993,34.4136678,-79.3880087
34359,Dillon County,Amusement Park,45033970400,+34.3943810,-079.3862993,34.418537,-79.388489
34392,Sadlers Creek State Park,Park and Recreation Area,45007012200,+34.3981509,-082.7484339,34.4229653,-82.825719
34400,Ekom Beach,Beach,45059920202,+34.3871887,-082.1544992,34.4241127,-82.1317556
34406,Beach Road Park,Park and Recreation Area,45039960100,+34.4273558,-081.3174179,34.424726,-81.280464
34451,Lake Wateree State Park,Park and Recreation Area,45039960300,+34.3424663,-080.9219134,34.4332342,-80.8601719
34544,Stone Creek Cove Golfcourse,Golf Course,45007011001,+34.4896667,-082.7909898,34.451746,-82.80968
34548,Stone Creek Cove Golf Course,Golf Course,45007011001,+34.4896667,-082.7909898,34.4521604,-82.8114714
34570,Pine Lake Golf Club,Golf Course,45007011300,+34.4693731,-082.5413588,34.4591363,-82.5810733
34584,Twin Lakes Country Club,Golf Course,45033970200,+34.4306966,-079.3074445,34.4634706,-79.3448875
34595,Space Walk of Lake Wateree,Amusement Park,45039960300,+34.3424663,-080.9219134,34.4681139,-80.9064355
34612,Sandy Point Country Club,Golf Course,45025950700,+34.5637524,-080.0730840,34.4747465,-80.1494187
34634,Lakeside Country Club,Golf Course,45059920302,+34.4434477,-081.9881019,34.4870352,-81.9555566
34660,Pontoon & Jet Ski Rental,Park and Recreation Area,45007010900,+34.5210374,-082.8802369,34.4970825,-82.9220466
34663,Jamie Pennell Memorial Park,Park and Recreation Area,45059920302,+34.4434477,-081.9881019,34.498474,-81.9907888
34666,Little River Park,Park and Recreation Area,45059920400,+34.4928213,-082.0269534,34.4993061,-82.0087247
34667,Anderson Country Club,Golf Course,45007000700,+34.4939131,-082.6616905,34.4994827,-82.675699
34679,Carolina Wren Park,Park and Recreation Area,45007012300,+34.5134656,-082.6052554,34.5041125,-82.6497921
34683,Whitmire Golf Club,Golf Course,45071950300,+34.4418336,-081.6326682,34.5066745,-81.6082857
34709,Burton Entertainment Center,Amusement Park,45007011401,+34.5142174,-082.5030071,34.514487,-82.480968
34723,Caters Lake Park,Park and Recreation Area,45007000200,+34.5217065,-082.6449925,34.5187882,-82.6455035
34728,Mount Haynie Park,Park and Recreation Area,45007011402,+34.5256364,-082.4416280,34.5225469,-82.4780868
34756,Kershaw Country Club,Golf Course,45057010200,+34.5820726,-080.5578749,34.5353747,-80.5940571
34763,Anderson County Fair,Amusement Park,45007001000,+34.5398822,-082.6812250,34.5376009,-82.6816764
34765,Kid Venture Playground,Amusement Park,45007001000,+34.5398822,-082.6812250,34.5377434,-82.6842805
34767,Civic Center Park,Amusement Park,45007001000,+34.5398822,-082.6812250,34.5382859,-82.6841597
34769,Tiki's Mini Golf,Amusement Park,45007001000,+34.5398822,-082.6812250,34.5391367,-82.6711877
34774,Anderson Sports & Entertainment Complex,Amusement Park,45007001000,+34.5398822,-082.6812250,34.5406765,-82.6829259
34775,Anderson Sports and Entertainment Center,Park and Recreation Area,45007001000,+34.5398822,-082.6812250,34.5409561,-82.6815836
34779,Cobb's Glen Country Club,Golf Course,45007011202,+34.5595444,-082.6008259,34.541529,-82.600372
34781,Leda Poore Park,Park and Recreation Area,45007011402,+34.5256364,-082.4416280,34.541975,-82.4921746
34785,The Trail at Chickasaw Pointe,Golf Course,45073030901,+34.5605163,-083.0702931,34.5428574,-83.0634086
34786,Chickasaw Country Club,Golf Course,45073030901,+34.5605163,-083.0702931,34.5428819,-83.0826741
34791,AnMed Fitness Track,Park and Recreation Area,45007011202,+34.5595444,-082.6008259,34.5451659,-82.6288025
34805,Sand Hills State Forest,Park and Recreation Area,45025950700,+34.5637524,-080.0730840,34.5512932,-80.0880032
34813,Toadily Fun,Amusement Park,45007011100,+34.5562299,-082.7000331,34.5549541,-82.6853734
