NCESSCH,LEAID,LEANM05,SCHNAM05,LCITY05,LSTATE05,LATCOD,LONCOD,MLOCALE,ULOCALE,status05,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,ABBEVILLE HIGH SCHOOL,ABBEVILLE,SC,34.18437,-82.37404,7,41,1,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,DIXIE HIGH SCHOOL,DUE WEST,SC,34.32995,-82.38582,7,42,1,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,CALHOUN FALLS HIGH SCHOOL,CALHOUN FALLS,SC,34.09853,-82.59741,7,42,1,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,CHEROKEE TRAIL ELEMENTARY,DONALDS,SC,34.36468,-82.35434,7,42,1,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,DIAMOND HILL ELEMENTARY,ABBEVILLE,SC,34.25504,-82.56337,6,42,1,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,LONG CANE ELEMENTARY,ABBEVILLE,SC,34.18067,-82.3609,6,32,1,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,ABBEVILLE PREMIER ACADEMY,ABBEVILLE,SC,,,N,N,2,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,ABBEVILLE COUNTY VOCATIONAL CENTER,ABBEVILLE,SC,34.16655,-82.41132,6,41,1,,,
4.50069E+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,WESTWOOD ELEMENTARY SCHOOL,ABBEVILLE,SC,34.20002,-82.39226,6,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,BELVEDERE ELEMENTARY SCHOOL,BELVEDERE,SC,33.52847,-81.93767,7,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,BYRD ELEMENTARY SCHOOL,GRANITEVILLE,SC,33.56226,-81.84176,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,J D LEVER ELEMENTARY,AIKEN,SC,33.64657,-81.67533,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,CLEARWATER ELEMENTARY SCHOOL,CLEARWATER,SC,33.49506,-81.89526,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,A L CORBETT MIDDLE SCHOOL,WAGENER,SC,33.6592,-81.4068,8,42,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,EAST AIKEN ELEMENTARY,AIKEN,SC,33.54985,-81.6754,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,GLOVERVILLE ELEMENTARY,GLOVERVILLE,SC,33.5239,-81.8286,8,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,GREENDALE ELEMENTARY SCHOOL,NEW ELLENTON,SC,33.40762,-81.67895,4,31,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,HAMMOND HILL ELEMENTARY SCHOOL,N AUGUSTA,SC,33.51083,-81.9832,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MILLBROOK ELEMENTARY,AIKEN,SC,33.52561,-81.71479,4,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,PINECREST/NORTH AIKEN ELEMENTARY,AIKEN,SC,33.57988,-81.69317,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,NORTH AUGUSTA ELEMENTARY,N AUGUSTA,SC,33.49387,-81.9671,8,21,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,RIDGE SPRING MONETTA EL,RIDGE SPRING,SC,33.84834,-81.65843,8,42,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,WARRENVILLE ELEMENTARY,WARRENVILLE,SC,33.52835,-81.78782,8,41,1,,,
4.50072E+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,CHUKKER CREEK ELEMENTARY,AIKEN,SC,33.47576,-81.71921,8,41,1,,,
