﻿wkt_geom,OBJECTID,STCTYFIPS,NAME,FEATTYPE,MNFC,TEXTLENGTH
Point (-79.85151020000000699 34.17530329999999594),33032,45041,Ebenezer Park,Park and Recreation Area,9362,13
Point (-80.03487280000001647 34.17625959999998031),33041,45031,Governors Run Golf Club,Golf Course,9911,23
Point (-79.79084360000001652 34.17657480000002579),33046,45041,Jeffries Creek Nature Park,Park and Recreation Area,9362,26
Point (-82.3803103000000192 34.17709949999999708),33052,45001,Slots of Fun,Amusement Park,9902,12
Point (-79.81904570000000376 34.1771600999999805),33053,45041,David H Mcleod Park,Park and Recreation Area,9362,19
Point (-80.89096100000000433 34.17760650000002443),33061,45079,The Green @ Lake Carolina,Golf Course,9911,25
Point (-79.37467889999999215 34.17805679999997892),33069,45067,Dusty Hills Country Club,Golf Course,9911,24
Point (-80.89188930000000255 34.1780749000000128),33071,45079,Harborside Village Green,Park and Recreation Area,9362,24
Point (-80.93374199999999519 34.17818499999998494),33073,45079,Columbia Country Club,Golf Course,9911,21
Point (-80.87545870000002424 34.18002990000002228),33084,45079,Sunset Park @ Lake Carolina,Park and Recreation Area,9362,27
Point (-79.77573730000000296 34.18083840000002738),33097,45041,Lucas Park,Park and Recreation Area,9362,10
Point (-79.79894760000001952 34.18116459999998824),33103,45041,Florence Country Club,Golf Course,9911,21
Point (-79.77045800000001918 34.18512650000002395),33156,45041,Timrod Park,Amusement Park,9902,11
