state_fips,state,geoid,census_tract_2,year,value,data_comment,tract_latitude,tract_longitude
45,South Carolina,45007010700,"Anderson County, SC - 45007010700",2016,4.70%,,+34.6422416,-082.7791119
45,South Carolina,45007010800,"Anderson County, SC - 45007010800",2016,2.40%,,+34.5681044,-082.8011252
45,South Carolina,45007010900,"Anderson County, SC - 45007010900",2016,1.80%,,+34.5210374,-082.8802369
45,South Carolina,45007011001,"Anderson County, SC - 45007011001",2016,3.00%,,+34.4896667,-082.7909898
45,South Carolina,45007011002,"Anderson County, SC - 45007011002",2016,7.10%,,+34.5383252,-082.7246007
45,South Carolina,45007011100,"Anderson County, SC - 45007011100",2016,19.20%,,+34.5562299,-082.7000331
45,South Carolina,45007011201,"Anderson County, SC - 45007011201",2016,6.70%,,+34.5868486,-082.6411408
45,South Carolina,45007011202,"Anderson County, SC - 45007011202",2016,6.90%,,+34.5595444,-082.6008259
45,South Carolina,45007011300,"Anderson County, SC - 45007011300",2016,1.60%,,+34.4693731,-082.5413588
45,South Carolina,45007011401,"Anderson County, SC - 45007011401",2016,8.40%,,+34.5142174,-082.5030071
45,South Carolina,45007011402,"Anderson County, SC - 45007011402",2016,2.20%,,+34.5256364,-082.4416280
45,South Carolina,45007011500,"Anderson County, SC - 45007011500",2016,2.40%,,+34.4662024,-082.4055574
45,South Carolina,45007011600,"Anderson County, SC - 45007011600",2016,1.10%,,+34.3903398,-082.5160908
45,South Carolina,45007011700,"Anderson County, SC - 45007011700",2016,1.10%,,+34.3109700,-082.6793835
45,South Carolina,45007011800,"Anderson County, SC - 45007011800",2016,3.00%,,+34.4155786,-082.6296198
45,South Carolina,45007011901,"Anderson County, SC - 45007011901",2016,15.80%,,+34.4562906,-082.6632407
45,South Carolina,45007011902,"Anderson County, SC - 45007011902",2016,6.10%,,+34.4625078,-082.6216538
45,South Carolina,45007012001,"Anderson County, SC - 45007012001",2016,17.50%,,+34.5165948,-082.7136730
45,South Carolina,45007012002,"Anderson County, SC - 45007012002",2016,6.50%,,+34.4883851,-082.7367187
45,South Carolina,45007012200,"Anderson County, SC - 45007012200",2016,1.20%,,+34.3981509,-082.7484339
45,South Carolina,45007012300,"Anderson County, SC - 45007012300",2016,17.40%,,+34.5134656,-082.6052554
45,South Carolina,45009960100,"Bamberg County, SC - 45009960100",2016,1.10%,,+33.3261599,-081.1667580
45,South Carolina,45009960200,"Bamberg County, SC - 45009960200",2016,1.00%,,+33.2528574,-080.9598246
45,South Carolina,45009960300,"Bamberg County, SC - 45009960300",2016,0.60%,,+33.1710465,-081.1518703
45,South Carolina,45009960400,"Bamberg County, SC - 45009960400",2016,0.50%,,+33.1236266,-080.9867065
45,South Carolina,45011970100,"Barnwell County, SC - 45011970100",2016,1.10%,,+33.3910823,-081.3942081
45,South Carolina,45011970200,"Barnwell County, SC - 45011970200",2016,1.10%,,+33.3685118,-081.2762976
45,South Carolina,45011970300,"Barnwell County, SC - 45011970300",2016,3.60%,,+33.2731810,-081.3721662
45,South Carolina,45011970400,"Barnwell County, SC - 45011970400",2016,1.20%,,+33.2281969,-081.2774271
45,South Carolina,45011970500,"Barnwell County, SC - 45011970500",2016,0.70%,,+33.1776388,-081.3817810
45,South Carolina,45011980100,"Barnwell County, SC - 45011980100",2016,0.80%,,+33.2175413,-081.6064173
45,South Carolina,45013000100,"Beaufort County, SC - 45013000100",2016,0.30%,,+32.5821594,-080.7263936
45,South Carolina,45013000200,"Beaufort County, SC - 45013000200",2016,1.30%,,+32.5007617,-080.7468659
45,South Carolina,45013000300,"Beaufort County, SC - 45013000300",2016,5.90%,,+32.4676898,-080.7840865
45,South Carolina,45013000400,"Beaufort County, SC - 45013000400",2016,10.50%,,+32.4796571,-080.7125383
45,South Carolina,45013000501,"Beaufort County, SC - 45013000501",2016,2.00%,,+32.4255231,-080.7676172
45,South Carolina,45013000502,"Beaufort County, SC - 45013000502",2016,9.30%,,+32.4178372,-080.7337269
45,South Carolina,45013000503,"Beaufort County, SC - 45013000503",2016,2.60%,,+32.3804562,-080.7359040
45,South Carolina,45013000600,"Beaufort County, SC - 45013000600",2016,5.20%,,+32.4494075,-080.6875512
45,South Carolina,45013000700,"Beaufort County, SC - 45013000700",2016,8.70%,,+32.4169450,-080.6897104
45,South Carolina,45013000800,"Beaufort County, SC - 45013000800",2016,7.20%,,+32.3847275,-080.6965888
45,South Carolina,45013000901,"Beaufort County, SC - 45013000901",2016,0.20%,,+32.4783136,-080.5652285
45,South Carolina,45013000902,"Beaufort County, SC - 45013000902",2016,2.30%,,+32.4453561,-080.6342550
45,South Carolina,45013000903,"Beaufort County, SC - 45013000903",2016,2.00%,,+32.3824780,-080.6515172
45,South Carolina,45013001000,"Beaufort County, SC - 45013001000",2016,4.40%,,+32.3175972,-080.6822133
45,South Carolina,45013001101,"Beaufort County, SC - 45013001101",2016,0.50%,,+32.4230434,-080.5098578
45,South Carolina,45013001102,"Beaufort County, SC - 45013001102",2016,0.40%,,+32.3630229,-080.5792222
45,South Carolina,45013001200,"Beaufort County, SC - 45013001200",2016,0.60%,,+32.3270113,-080.5157637
45,South Carolina,45013002101,"Beaufort County, SC - 45013002101",2016,0.30%,,+32.1187058,-080.8611777
45,South Carolina,45013002102,"Beaufort County, SC - 45013002102",2016,0.70%,,+32.1865732,-080.8986570
45,South Carolina,45013002103,"Beaufort County, SC - 45013002103",2016,7.20%,,+32.2526677,-080.9631260
45,South Carolina,45013002104,"Beaufort County, SC - 45013002104",2016,19.90%,,+32.2879651,-080.9713390
45,South Carolina,45013002105,"Beaufort County, SC - 45013002105",2016,9.40%,,+32.2787090,-080.9215404
45,South Carolina,45013002106,"Beaufort County, SC - 45013002106",2016,10.50%,,+32.2494167,-080.9091717
45,South Carolina,45013002107,"Beaufort County, SC - 45013002107",2016,13.00%,,+32.2608068,-080.8659839
45,South Carolina,45013002108,"Beaufort County, SC - 45013002108",2016,4.00%,,+32.2226585,-080.8256590
45,South Carolina,45013002201,"Beaufort County, SC - 45013002201",2016,2.00%,,+32.2799730,-080.8215798
45,South Carolina,45013002202,"Beaufort County, SC - 45013002202",2016,0.70%,,+32.3376045,-080.8200441
