fac_id,fac_name,notes,mode_bus,mode_air,mode_rail,mode_ferry,mode_bike,GEOID,tract_latitude,tract_longitude,lat,lon
SC2931602,,Served by Pandora Bus,1,0,0,0,0,45083021802,+34.9970483,-081.9699542,35.013454,-81.9585
SC2911801,,Served by Atlanta Tours Inc,1,0,0,0,0,45075010900,+33.5692930,-080.9216953,33.529167,-80.89314
SC2992702,,Served by Atlanta Tours Inc,1,0,0,0,0,45053950300,+32.2481288,-081.0599775,32.311895,-81.054439
SC2992701,,Served by Star Line Express,1,0,0,0,0,45053950300,+32.2481288,-081.0599775,32.311897,-81.056683
SC2960702,,Served by Greyhound Lines,1,0,0,0,0,45045002812,+34.8035511,-082.2698565,34.820606,-82.28127
SC2962102,,Served by Pandora Bus,1,0,0,0,0,45007010600,+34.6465816,-082.6814321,34.578922,-82.714
SC2950104,,Served by Wanda Travel,1,0,0,0,0,45041000101,+34.2251954,-079.8268928,34.229797,-79.799545
SC2920701,Hoffman Travel Center,Served by Greyhound Lines,1,0,0,0,0,45079011501,+34.0183763,-080.9374698,34.012786,-80.932308
SC2920301,Columbia bus station,Served by Greyhound Lines,1,0,0,0,0,45079010600,+34.0595573,-081.0263513,34.064877,-81.03226
SC2921001,,Served by Wanda Travel,1,0,0,0,0,45079010403,+34.0221797,-081.0849436,34.03392,-81.088524
SC2940301,,Served by Atlanta Tours Inc,1,0,0,0,0,45019000700,+32.7893794,-079.9385460,32.79414,-79.939186
SC2940602,,Served by Atlanta Tours Inc,1,0,0,0,0,45019003300,+32.8846062,-080.0074054,32.89116,-80.01237
SC2940601,,Served by Atlanta Tours Inc,1,0,0,0,0,45019003104,+32.9290256,-080.0392057,32.935192,-80.03831
SC2947702,,Served by Atlanta Tours Inc,1,0,0,0,0,45035010300,+33.1819144,-080.4332330,33.270546,-80.56771
SC2948303,Summerville Bus Station,Served by Greyhound Lines,1,0,0,0,0,45015020713,+33.0714364,-080.1305502,33.04332,-80.12389
SC2940603,,Served by Star Line Express,1,0,0,0,0,45019003105,+32.9118630,-080.0314105,32.908344,-80.02248
SC2948304,,Served by Star Line Express,1,0,0,0,0,45015020714,+33.0273185,-080.1382363,33.03689,-80.15467
SC2947701,,Served by Star Line Express,1,0,0,0,0,45035010200,+33.1882779,-080.5663258,33.194592,-80.601242
SC2980102,,Served by Atlanta Tours Inc,1,0,0,0,0,45003021300,+33.5673561,-081.7526423,33.56564,-81.73912
SC2984101,,Served by Atlanta Tours Inc,1,0,0,0,0,45003020702,+33.5019859,-081.9498430,33.502422,-81.9593
SC2948801,Circle C Travel Plaza,Served by Greyhound Lines,1,0,0,0,0,45029970401,+33.0054202,-080.7171243,33.082844,-80.64934
SC2910201,,Served by Star Line Express,1,0,0,0,0,45027960500,+33.7032431,-080.2749535,33.710613,-80.26115
SC2930602,Morgan Square,,0,0,0,0,1,45083021200,+34.9509248,-081.9167596,34.94867,-81.93345
SC2930201,Converse College,,0,0,0,0,1,45083021200,+34.9509248,-081.9167596,34.95618,-81.91928
SC2930603,MBF Rail Trail,,0,0,0,0,1,45083021100,+34.9269747,-081.9077608,34.94747,-81.92174
SC2930303,Harvest Park/ VCOM,,0,0,0,0,1,45083020400,+34.9541386,-081.9489874,34.95624,-81.94241
SC2930304,Wofford College,,0,0,0,0,1,45083020301,+34.9629269,-081.9384470,34.96023,-81.93861
SC2930306,SCC Main Campus,,0,0,0,0,1,45083021901,+34.9631089,-082.0186459,34.9754,-81.9954
SC2940101,Marina,,1,0,0,0,1,45019000500,+32.7792848,-079.9468711,32.77938654,-79.95156527
SC2940103,South Adger's Wharf,,0,0,0,0,1,45019000200,+32.7707910,-079.9282235,32.77495742,-79.92696941
SC2940104,Moultrie Playground,,0,0,0,0,1,45019000100,+32.7721636,-079.9406132,32.77673,-79.9420166
SC2940105,Customs House,,1,0,0,0,1,45019005100,+32.7866809,-079.9264498,32.78033044,-79.92699355
SC2940302,Visitor's Center,,1,0,0,0,1,45019000700,+32.7893794,-079.9385460,32.7892855,-79.93609361
SC2940106,City Hall,,1,0,0,0,1,45019000200,+32.7707910,-079.9282235,32.77673225,-79.9309659
SC2940304,Hampstead Park,,1,0,0,0,1,45019000900,+32.7976264,-079.9287806,32.79603917,-79.93658245
SC2940305,Aquarium,,1,0,0,0,1,45019005100,+32.7866809,-079.9264498,32.79002183,-79.92710888
SC2940306,Ann Street,,0,0,0,0,1,45019000700,+32.7893794,-079.9385460,32.78958189,-79.93785381
SC2940107,Gaillard Center,,0,0,0,0,1,45019005100,+32.7866809,-079.9264498,32.78619344,-79.93127167
SC2940108,Liberty Street,,1,0,0,0,1,45019000400,+32.7825377,-079.9353260,32.7832512,-79.93465662
SC2940307,Bay Street Biergarten,,0,0,0,0,1,45019005100,+32.7866809,-079.9264498,32.79215977,-79.93155867
SC2940308,Fishburne Lot,,1,0,0,0,1,45019001100,+32.7905077,-079.9565809,32.79110904,-79.95700747
SC2940309,Singleton Park,,0,0,0,0,1,45019005400,+32.8200646,-079.9429888,32.80689061,-79.94503543
SC2940110,Gadsdenboro Park 2,,0,0,0,0,1,45019005100,+32.7866809,-079.9264498,32.78753736,-79.92683798
SC2942501,MUSC Horseshoe,,1,0,0,0,1,45019000600,+32.7850610,-079.9510689,32.78549377,-79.94667158
SC2942503,MUSC- Basic Science,,1,0,0,0,1,45019000600,+32.7850610,-079.9510689,32.78552252,-79.94823396
SC2942504,MUSC-Jonathan Lucas,,1,0,0,0,1,45019000600,+32.7850610,-079.9510689,32.78482243,-79.94811058
SC2940111,MUSC- Wellness Center,,1,0,0,0,1,45019000600,+32.7850610,-079.9510689,32.7852396,-79.95189518
SC2940310,Hampton Park,,0,0,0,0,1,45019005200,+32.7984271,-079.9627055,32.80022572,-79.95703697
SC2942401,College Way,,1,0,0,0,1,45019000400,+32.7825377,-079.9353260,32.78477974,-79.93847072
SC2940112,Stern Center,,0,0,0,0,1,45019000400,+32.7825377,-079.9353260,32.78246533,-79.93707329
SC2940113,Market Corner,,1,0,0,0,1,45019000400,+32.7825377,-079.9353260,32.78050281,-79.93456006
SC2940311,Gotcha,,1,0,0,0,1,45019000700,+32.7893794,-079.9385460,32.78843805,-79.93886232
SC2940312,Kings Plaza,,1,0,0,0,1,45019001500,+32.8070997,-079.9522715,32.803703,-79.951103
SC2940313,Department of Transportation,,1,0,0,0,1,45019001100,+32.7905077,-079.9565809,32.788069,-79.959637
SC2940314,Mission Yoga,,1,0,0,0,1,45019000600,+32.7850610,-079.9510689,32.789767,-79.948199
SC2940315,Medical District Greenway,,1,0,0,0,1,45019000600,+32.7850610,-079.9510689,32.784402,-79.950243
SC2940316,Hyatt Place/House,,1,0,0,0,1,45019000700,+32.7893794,-079.9385460,32.792565,-79.939373
SC2940318,Baker and Brewer,,0,0,0,0,1,45019005300,+32.8001609,-079.9443767,32.802774,-79.942321
SC2940114,MUSC Shawn Jenkins Children's Hospital and Pearl Tourville Women's Pavilion,,1,0,0,0,1,45019000600,+32.7850610,-079.9510689,32.783,-79.9509
SC2973001,Legal remedy Brewing,,0,0,0,0,1,45091060501,+34.9325443,-081.0382008,34.930248,-81.024299
SC2973002,The Anderson Apartments,,1,0,0,0,1,45091060501,+34.9325443,-081.0382008,34.926724,-81.027913
SC2973003,Fountain Park,,0,0,0,0,1,45091060501,+34.9325443,-081.0382008,34.924269,-81.023673
