property_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Howard Properties,34.835702,-82.413306,2 Nelson St,Greenville,SC,29601,Greenville County,US,Match,Exact,38300405,R,45,045,000500,2020
Washington School,34.850677,-82.399242,2 S Main St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
Additional CSX Rail Line,34.856422,-82.400685,420 College St,Greenville,SC,29601,Greenville County,US,Match,Exact,38300752,R,45,045,001000,2012
C&C Garage,34.848148,-82.39992,209 S Main St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
700 East Stone Avenue,34.857927,-82.384782,701 A E Stone Ave,Greenville,SC,29601,Greenville County,US,No_Match,,,,,,,
Charleston County Landfill,33.609305,-80.952355,419 Graves Ln,Orangeburg,SC,29118,Orangeburg County,US,Match,Exact,615969403,L,45,075,010902,1039
Metal Trades,32.834815,-79.947672,1903 Pittsburgh Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,108805661,L,45,019,005400,2008
Carriggs Seafood,32.816411,-79.952325,2118 Heriot St,Charleston,SC,29403,Charleston County,US,Match,Exact,605688231,R,45,019,004400,1041
Charleston Oil Company,32.823944,-79.952113,1705 Meeting Street Rd,North Charleston,SC,29405,Charleston County,US,Match,Exact,108853829,R,45,019,004400,1033
Oil City Garage,32.793234,-79.947141,133 Line St,Charleston,SC,29403,Charleston County,US,Match,Exact,108807207,L,45,019,001000,1012
Mount Pleasant Street Texaco Service Station,32.812292,-79.953824,140 Magnolia Ave,Charleston,SC,29403,Charleston County,US,Match,Exact,108805939,R,45,019,001500,1002
1766 Meeting Street,32.825717,-79.951472,1944 Milford St,North Charleston,SC,29405,Charleston County,US,Match,Exact,108805672,L,45,019,005400,1047
1797 King Street Extension,32.823944,-79.952113,1705 Meeting Street Rd,North Charleston,SC,29405,Charleston County,US,Match,Exact,108853829,R,45,019,004400,1033
Williams Grocery,34.496711,-82.653571,402 W Franklin St,Anderson,SC,29624,Anderson County,US,Tie,,,,,,,
Morehead Oil Bulk Plant,34.294829,-81.623758,1622 Gulf St,Newberry,SC,29108,Newberry County,US,Match,Exact,649485049,L,45,071,950502,2024
Alicia Automotive,34.672588,-82.399008,8614 Augusta Rd,Pelzer,SC,29669,Greenville County,US,Match,Exact,640753219,L,45,045,003303,2018
Henry Wilson Station,34.105048,-80.163415,17 N Darlington Hwy,Bishopville,SC,29010,Lee County,US,No_Match,,,,,,,
Princes Grocery,34.649035,-81.763837,4222 Cross Keys Hwy,Union,SC,29379,Union County,US,Match,Exact,604737832,L,45,087,030700,3013
Bucks Grocery,34.186658,-80.475983,1365 State Rd S-28-18,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
Interstate Truck Terminal,33.095655,-81.213601,NA US 301,Ulmer,SC,29849,Allendale County,US,No_Match,,,,,,,
