property_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Cannon Roofing Property,34.948789,-81.923835,327 E Kennedy St,Spartanburg,SC,29302,Spartanburg County,US,Match,Non_Exact,19468631,R,45,083,021200,1114
Wakefield Buick Pontiac GMC,34.94876,-81.939039,163 Branch St,Spartanburg,SC,29301,Spartanburg County,US,Match,Exact,640664811,R,45,083,020500,1037
Proposed Blenheim School Site,34.501183,-79.649841,2630 State Hwy 38,Blenheim,SC,29516,Marlboro County,US,No_Match,,,,,,,
Former Raco Station,33.998263,-81.043291,626 US Hwy 378,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
Rownd Property,34.42481,-79.370489,817 N 3rd Ave,Dillon,SC,29536,Dillon County,US,Match,Non_Exact,28819275,L,45,033,970302,2038
Gregg Plant Tract,33.566961,-81.813509,665 Leitner St,Graniteville,SC,29829,Aiken County,US,Match,Exact,65028432,L,45,003,020402,2003
2510 North Main Street,34.019885,-81.041801,2500 US Hwy 21,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
209_217 Laurens Rd,34.831761,-82.348292,2405 Laurens Rd,Greenville,SC,29607,Greenville County,US,No_Match,,,,,,,
128 Biltmore Drive Property,34.834962,-82.397785,103 Biltmore Dr,Greenville,SC,29601,Greenville County,US,Match,Exact,642160412,L,45,045,000400,2010
320 South Hudson Street,34.849825,-82.409617,325 S Hudson St,Greenville,SC,29601,Greenville County,US,Match,Non_Exact,38299907,L,45,045,000700,1003
Washington and Hudson Street Properties,34.853964,-82.407233,570 W Washington St,Greenville,SC,29601,Greenville County,US,Tie,,,,,,,
Fairforest Way Properties,34.787871,-82.349905,466 Fairforest Way,Greenville,SC,29607,Greenville County,US,Match,Exact,627757659,L,45,045,002901,1001
Mayberry Street Properties,34.853862,-82.417433,197 Willard St,Greenville,SC,29611,Greenville County,US,Match,Exact,38299814,L,45,045,000700,3021
Granite Plant Tract,33.566961,-81.813509,665 Leitner St,Graniteville,SC,29829,Aiken County,US,Match,Exact,65028432,L,45,003,020402,2003
Post & Courier Property,32.796454,-79.940365,492 Meeting St,Charleston,SC,29403,Charleston County,US,Match,Exact,108806983,R,45,019,001000,1000
Former Milliken Plant,33.647031,-79.819328,198 Milliken Dr,Kingstree,SC,29556,Williamsburg County,US,Match,Exact,29189929,L,45,089,970501,4026
Former Butler High School,34.364336,-80.071768,748 Sixth St,Hartsville,SC,29550,Darlington County,US,Match,Non_Exact,78395331,L,45,031,010700,1022
Shipwatch Square,32.858679,-79.982705,3680 US Hwy 78,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Pressley Property,32.83939,-79.962149,2426 US Hwy 52,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Multi-Tenant Retail Building,33.998547,-81.037989,900 Senate St,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
806 Green Avenue Property,34.833555,-82.414111,806 Green Ave,Greenville,SC,29605,Greenville County,US,Match,Exact,601201399,R,45,045,002108,1004
1527 Charleston Highway Property,33.971998,-81.076925,U1525 Charleston Hwy,West Columbia,SC,29169,Lexington County,US,No_Match,,,,,,,
Former Fox Theater,34.007959,-81.036491,1700 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820657,R,45,079,003100,2016
107 Pete Hollis Blvd.,34.862786,-82.407919,3 James St,Greenville,SC,29609,Greenville County,US,Match,Exact,38299751,L,45,045,000900,1002
Markley Street Properties,34.845694,-82.410095,120 N Markley St,Greenville,SC,29601,Greenville County,US,Match,Non_Exact,38299976,R,45,045,000700,1041
Springfield Holt Property,33.664459,-79.828814,100 Hampton Ave,Kingstree,SC,29556,Williamsburg County,US,Match,Exact,29190525,R,45,089,970601,3026
Former Belk Property,33.664459,-79.828814,100 Hampton Ave,Kingstree,SC,29556,Williamsburg County,US,Match,Exact,29190525,R,45,089,970601,3026
Former City Hall Property,32.878872,-80.013221,4904 Lacross Rd,Charleston,SC,29406,Charleston County,US,No_Match,,,,,,,
Hess Property,32.889502,-79.972865,5149 Virginia Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,615115914,R,45,019,003400,4038
Amtrak Station & CSX Right-of-Way,32.873646,-79.996724,4562 Gaynor St,North Charleston,SC,29405,Charleston County,US,Match,Exact,619858023,R,45,019,003300,4010
Park South Tract,32.864164,-79.979565,3787 State Rd S-10-32,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
SCE&G - Stall Road Property,32.926352,-80.051019,7125 Stall Rd,Charleston,SC,29406,Charleston County,US,Match,Exact,622666923,R,45,019,003104,1036
City Market Arts & Antiques,34.000585,-81.040674,1300 Gadsden St,Columbia,SC,29201,Richland County,US,Match,Exact,71820673,R,45,079,001600,1041
Oscar Street Properties,34.852097,-82.407955,20 Mayfield St,Greenville,SC,29601,Greenville County,US,Match,Exact,38299918,R,45,045,000700,1002
Garners Ferry Road Properties,33.944179,-80.913804,1111 Old Garners Ferry Rd,Columbia,SC,29209,Richland County,US,Match,Non_Exact,71831052,L,45,079,011901,4027
916-924 GERVAIS STREET PROPERTIES,34.001571,-81.037475,1300 Park St,Columbia,SC,29201,Richland County,US,Match,Exact,71820690,R,45,079,003100,2035
Meeting Street Properties,33.987659,-81.077089,200 N Parson St,West Columbia,SC,29169,Lexington County,US,Tie,,,,,,,
Babcock Center?s David E. Stewart Facility,34.056936,-81.048216,5437 Ridgewood Camp Rd,Columbia,SC,29203,Richland County,US,Match,Exact,71818704,L,45,079,000300,1002
,0,0,NA NA,,,,,,No_Match,,,,,,,
